Title,Company,Experience,Location,Posted_Date,Min_Experience,Days_Ago
Business Analyst,Accenture,1-4 Yrs,Pune,1 week ago,1,7
Business Analyst,Barclays,0-5 Yrs,Pune,6 days ago,0,6
Business Analyst,Accenture,3-8 Yrs,Pune,1 week ago,3,7
Business Analyst,PwC India,4-8 Yrs,Pune,Just now,4,0
Business Analyst,Accenture,15-20 Yrs,Pune,4 days ago,15,4
Business Analyst,Accenture,3-8 Yrs,Pune,3 days ago,3,3
Business Analyst,Magna International,5-7 Yrs,Pune(Pimpri Chinchwad),5 days ago,5,5
Business Analyst,Accenture,3-8 Yrs,Pune,3 days ago,3,3
Business Analyst,Syngenta,0-8 Yrs,Pune,1 week ago,0,7
Business Analyst,Accenture,1-4 Yrs,Pune,1 week ago,1,7
Immediate opening For the position of Business analyst- Bang / Pune,Wipro,7-12 Yrs,"Pune, Bengaluru",6 days ago,7,6
Business Analyst,Accenture,3-8 Yrs,Pune,Few hours ago,3,1
Business Analyst,Accenture,7-12 Yrs,Pune,1 week ago,7,7
Looking For Business Analyst,SRS Infoway,10-15 Yrs,"Hybrid - Pune, Chennai, Bengaluru",Today,10,0
Business Analyst,Synechron,7-12 Yrs,"Pune, Chennai",Today,7,0
PAM Business Analyst,Tata Consultancy Services,6-11 Yrs,"Pune, Hyderabad, Bengaluru",2 days ago,6,2
Business Analyst,Accenture,15-20 Yrs,Pune,4 days ago,15,4
Business Analyst,Tata Consultancy Services,6-11 Yrs,"Pune, Chennai, Bengaluru",3 days ago,6,3
Avaloq Business Analyst,Barclays,0-5 Yrs,Pune,3 days ago,0,3
Business Analyst - Agentic AI,eClerx,9-14 Yrs,"Hybrid - Pune, Navi Mumbai",4 days ago,9,4
Business Analyst,Barclays,0-13 Yrs,Pune,1 week ago,0,7
Business Analyst,Accenture,3-8 Yrs,Pune,1 week ago,3,7
Business Analyst Pharmacovigilance,Leading Client,0-2 Yrs,Pune,1 week ago,0,7
Business Analyst,Accenture,3-8 Yrs,Pune,1 week ago,3,7
Business Analyst,Accenture,3-8 Yrs,Pune,1 week ago,3,7
Business Analyst,Accenture,3-8 Yrs,Pune,1 week ago,3,7
Business Analyst,Accenture,1-4 Yrs,Pune,1 week ago,1,7
Business Analyst,Accenture,5-10 Yrs,Pune,1 week ago,5,7
Business Analyst,Accenture,1-4 Yrs,Pune,1 week ago,1,7
Business Analyst,Digit Insurance,2-5 Yrs,"Pune, Bengaluru",1 week ago,2,7
Looking For Business Analyst,SRS Infoway,10-15 Yrs,"Hybrid - Pune, Chennai, Bengaluru",3 days ago,10,3
Business Analyst,Accenture,1-4 Yrs,Pune,1 week ago,1,7
AEM Business Analyst,Capgemini,2-6 Yrs,Pune,1 week ago,2,7
Business Analyst,Accenture,5-10 Yrs,Pune,1 week ago,5,7
Business Analyst,People Prime Worldwide,6-11 Yrs,"Pune, Bengaluru",3 days ago,6,3
Business Analyst,Accion Labs,7-12 Yrs,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",1 day ago,7,1
Teamcenter Business Analyst,HCLTech,6-11 Yrs,"Hybrid - Pune, Chennai, Bengaluru",1 week ago,6,7
NAS Impl ICE Business Analyst,ADP Private Limited,3-5 Yrs,Pune,1 week ago,3,7
EIS Business Analyst,Hexaware Technologies,7-12 Yrs,"Pune, Bengaluru, Delhi / NCR",1 week ago,7,7
Guidewire Business Analyst,IT Services and IT Consulting,5-10 Yrs,"Pune, Hyderabad, Chennai, Bengaluru, Mumbai (All Areas)",1 week ago,5,7
Business Analyst-ADM,IBM,1-4 Yrs,Pune,2 weeks ago,1,14
Business Analyst,Jones Lang LaSalle (JLL),1-6 Yrs,Pune,1 week ago,1,7
Business Analyst,Accenture,3-8 Yrs,Pune,1 week ago,3,7
FPDS - Business Analyst Tax,ABB,7-12 Yrs,Pune,1 week ago,7,7
Business Analyst / Project Manager,Infobeans,10-15 Yrs,"Pune, Indore, Nagar",1 week ago,10,7
FPDS - Business Analyst P2P,ABB,5-10 Yrs,Pune,1 week ago,5,7
Business Analyst,Accenture,15-25 Yrs,Pune,1 week ago,15,7
Business Analyst,Black and white Business Solution,5-10 Yrs,"Hybrid - Pune, Bengaluru",1 week ago,5,7
Business Analyst (IBM Maximo),Infoplus Technologies,4-8 Yrs,Hybrid - Pune,1 week ago,4,7
Business Analyst,Quess Corp,10-15 Yrs,Pune,4 days ago,10,4
Business Analyst with Manufacturing domain,Ltimindtree,7-9 Yrs,"Pune, Hyderabad, Chennai",3 days ago,7,3
Business Analyst,Myridius x Aethereus,3-6 Yrs,Pune,1 week ago,3,7
Business Analyst,iProgrammer Solutions,4-9 Yrs,Pune,3 days ago,4,3
Business Analyst with Scrum and Veeva QMS,Ltimindtree,8-12 Yrs,"Pune, Hyderabad, Chennai",1 week ago,8,7
SailPoint Business Analyst,Capgemini,6-11 Yrs,"Hybrid - Pune, Chennai, Bengaluru",Today,6,0
Business Analyst,Myridius x Aethereus,3-6 Yrs,Pune,1 week ago,3,7
Business Analyst with Veeva QMS,Ltimindtree,8-12 Yrs,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",1 week ago,8,7
Business Analyst with Switch Domain,FIS,10-16 Yrs,"Hybrid - Pune, Chennai, Bengaluru",1 week ago,10,7
Guidewire ClaimCenter Business Analyst,Sky Systems,3-8 Yrs,Pune,2 days ago,3,2
Guidewire Business Analyst,Hexaware Technologies,12-18 Yrs,"Hybrid - Pune, Noida, Chennai",1 week ago,12,7
